Date,Close,High,Low,Open,Volume
,VNQ,VNQ,VNQ,VNQ,VNQ
2015-01-02,53.59623336791992,53.64186362727022,53.02259013800166,53.25726146418181,5570500
2015-01-05,53.88954162597656,54.02643233185247,53.28982854118997,53.45279437770737,6073700
2015-01-06,54.424095153808594,54.59358109660966,53.94171744172477,53.94171744172477,7577100
2015-01-07,55.258480072021484,55.33670550133832,54.345874929950135,54.63269155746183,6920700
2015-01-08,55.46706771850586,55.64307366408618,55.02380527381292,55.63655363598062,5255000
2015-01-09,55.493133544921875,55.74735989180842,55.121571578447416,55.46705841019973,4643900
2015-01-12,55.91685104370117,55.97552134567885,55.52573393270426,55.63002950808562,5131800
2015-01-13,55.83210754394531,56.27537490520763,55.53876599664493,56.112409036704186,5859600
2015-01-14,56.31449890136719,56.340574043506706,55.50618938834137,55.79952603409252,6249100
2015-01-15,56.44486618041992,56.58827696673824,56.086344187948676,56.43183109681123,5004100
2015-01-16,56.93375778198242,57.00546316746695,56.2427840382122,56.444860139128245,4717000
2015-01-20,56.4839973449707,57.26623188905483,56.353621605406055,57.18801141864198,5012700
2015-01-21,56.44486618041992,56.510056518437004,56.17760469318314,56.510056518437004,4354500
2015-01-22,57.448753356933594,57.507423683483616,56.523107979452625,56.66651880732381,4450600
2015-01-23,57.28577423095703,57.59215093394932,57.155403493793216,57.43570505468777,3491800
2015-01-26,57.76814270019531,57.813772944319076,57.129314309138934,57.36398555701078,2885100
2015-01-27,57.787681579589844,58.015832736134925,57.55953042304477,57.62471575729733,3209400
2015-01-28,57.403114318847656,58.19186877827708,57.403114318847656,57.90505213969152,3948900
2015-01-29,57.605194091796875,57.66385943468033,57.011995767130266,57.66385943468033,3337500
2015-01-30,56.41878890991211,57.52695489013761,56.41226888226639,57.50087975287862,4969800
2015-02-02,56.26884460449219,56.51003583623761,55.20630912624167,56.40573531224304,7523600
2015-02-03,56.75776672363281,56.77732183702771,55.838641580798644,56.27538902436754,4617400
2015-02-04,56.523094177246094,56.770800563693115,56.19716236560935,56.62739474416574,3332800
2015-02-05,57.201045989990234,57.22712113766797,56.49703192266906,56.659997865660486,2921600
2015-02-06,55.53877258300781,57.14236129577667,55.29758625194746,57.06413587922173,6323300
2015-02-09,55.14765548706055,55.806039066902706,55.13462040428733,55.486627319054705,4235700
2015-02-10,55.32365036010742,55.44750102830354,54.658746885272585,55.24542495914944,6144500
2015-02-11,55.16070556640625,55.61700814624669,54.782623444066964,55.434487114310514,4027100
2015-02-12,55.81906509399414,55.8777353902659,55.09549627102406,55.29105729416537,4523100
2015-02-13,55.4475212097168,56.02116441221969,55.121589380412885,55.995089269076374,3444500
2015-02-17,55.31062698364258,55.96901063024646,55.180256249393665,55.40840752099163,6414800
2015-02-18,55.82559585571289,55.897301246431404,54.899950777941264,55.30410300927358,5487900
2015-02-19,54.62616729736328,55.85818900489333,54.50231163181212,55.85818900489333,5415600
2015-02-20,55.154170989990234,55.23891145437414,54.5544577651415,54.639198229525405,4982700
2015-02-23,55.597450256347656,55.6235253986547,55.11507255697962,55.16070281268572,3883800
2015-02-24,54.50231170654297,55.506182168374316,54.26764043113698,55.506182168374316,6027700
2015-02-25,54.515350341796875,55.10202856854327,54.45016497734162,54.560980594248015,6699700
2015-02-26,53.92216110229492,54.534914515424376,53.79830541921772,54.5088393730226,4738700
2015-02-27,54.34587478637695,54.48276555732601,53.73312135832639,54.09164835842513,4328200
2015-03-02,54.65876770019531,55.25848108261722,54.404541266922436,54.4827666976699,5353500
2015-03-03,54.55446243286133,54.71090829331101,54.085119878188046,54.58705262657105,4311400
2015-03-04,54.03297424316406,54.62617251554916,53.90911856578154,54.5544671205724,3054200
2015-03-05,54.189422607421875,54.72395059333444,54.13727729594435,54.1698674939522,3503900
2015-03-06,52.390262603759766,53.51146346037256,52.292482100298294,53.49190835434487,7166500
2015-03-09,52.80747604370117,52.92481170044445,52.572804730214614,52.572804730214614,6548000
2015-03-10,52.76836013793945,53.016071506270286,52.57280402819531,52.65102448276299,5985700
2015-03-11,52.81399917602539,52.9900051747185,52.611923003691444,52.83355926624466,2833100
2015-03-12,53.73310470581055,53.80481008360796,52.98998076620414,53.009535874090076,4013200
2015-03-13,53.70051574707031,53.850446547054396,53.34199378999158,53.726590885038156,2863500
2015-03-16,54.254608154296875,54.574019917159,53.8569709711458,54.00037678168888,2761500
2015-03-17,54.23504638671875,54.48275772328691,53.91563463376561,54.150305914027925,3764800
2015-03-18,55.36928939819336,55.52573525164351,53.92867160491839,54.24156331181869,5781800
2015-03-19,55.34321594238281,55.67566774272672,55.11506469639156,55.29106566520648,5663200
2015-03-20,56.73167037963867,56.783820644752105,55.48009385685436,55.6691348378983,6004800
